,0
407,COX5B
408,TMEM147
409,ALDH1L1
410,ALDH9A1
411,STAT3
412,SLC12A4
413,PSENEN
414,RHBDD2
415,PKM
416,PLAU
417,LINC00152
418,PNKD
419,FNDC3B
420,IL1RAP
421,SALL1
422,SFT2D1
423,SLC44A2
424,SUMF2
425,MOCS2
426,HSD17B12
427,HEXA
428,ARNTL
429,ADORA1
430,UGP2
431,CNIH3
432,MT1E
433,HSPB6
434,C6orf1
435,SLC18B1
436,SLC3A2
437,EFCAB14
438,GPR37
439,C8orf4
440,MMP14
441,BAD
442,ZFAND6
443,TRIM22
444,DGKG
445,HIGD1A
446,ENTPD2
447,TOMM7
448,LSS
449,RAP1B
450,PPIB
451,PTPMT1
452,ERAP1
453,OAS3
454,PREX2
455,SCHIP1
456,LPAR1
457,ALDH7A1
458,RAB1B
459,ITM2B
460,KANK2
461,TRIL
462,ENO1
463,CPQ
464,LRRN3
465,SCARA3
466,CHMP2A
467,MIR4435-2HG
468,PAM
469,EPS15
470,PFDN5
471,CNDP2
472,EVA1C
473,S100A11
474,ATP5F1
475,GPC4
476,C4orf3
477,C1orf54
478,MEIS1
479,MT1M
480,ZFP36L1
481,IFT57
482,DPY19L1
483,NEDD8
484,PDGFD
485,QTRT1
486,ATP5H
487,STARD7
488,KRTCAP2
489,IGFBP7
490,POLR2L
491,SEC11A
492,SSPN
493,PSME2
494,GAMT
495,SYNJ2
496,PJA2
497,PTGR1
498,RDH5
499,CAPNS1
500,GLI3
501,C11orf49
502,COL6A1
503,PDLIM2
504,PXN
505,CTSD
506,CRIM1
507,CHPF
508,COL28A1
509,POMGNT1
510,MRPS28
511,SATB2
512,TRIM5
513,LRPAP1
514,SDF4
515,TENM4
516,TTC38
517,TECR
518,NDFIP1
519,ABHD17C
520,FAM3C
521,KTN1
522,GALK1
523,CYFIP1
524,TXNDC12
525,CPVL
526,TIMP2
527,NDUFB5
528,NGFRAP1
529,TGIF1
530,PRNP
531,C14orf1
532,AKR7A2
533,IQCK
534,CEMIP
535,WIPF3
536,RNF180
537,NME3
538,TRAPPC3
539,SEC14L2
540,SLC15A2
541,SDHD
542,TRPS1
543,GADD45GIP1
544,CLIC4
545,COQ9
546,CRIP2
547,HRH1
548,C19orf66
549,ACSL3
550,SASH1
551,PEX10
552,FCGRT
553,CDC42EP1
554,THBS2
555,REST
556,LMF2
557,GNG7
558,IL17RC
559,REEP5
560,SPCS1
561,EMC2
562,IFI35
563,PRAF2
564,BARD1
565,PACSIN2
566,SPATA13
567,COPS7A
568,STXBP3
569,SRPX2
570,TCTN1
571,BSG
572,C1orf122
573,PHF11
574,ECHDC2
575,MYL12A
576,ANXA7
577,ARNT2
578,TPI1
579,SCD
580,DPP7
581,BAALC
582,FKBP2
583,TIMP4
584,C21orf33
585,L3HYPDH
586,PKIG
587,ELP4
588,SORT1
589,NBPF14
590,CAPN1
591,DGCR6L
592,CHPT1
593,UBL3
594,STAC
595,TMEM231
596,ETFB
597,CDH4
598,PRRX1
599,PHGDH
600,TNS1
601,CLPTM1
602,IRF2
603,PRDX4
604,LGI1
605,SUMF1
606,KIAA1671
607,MTMR10
608,SEP15
609,HACD3
610,NDUFA3
611,TSTD1
612,MVB12A
613,EID1
614,ARHGAP31
615,RUNX1
616,CTSL
617,IFI44L
618,IRF3
619,MTRNR2L3
620,TNFRSF21
621,MLEC
622,B3GAT3
623,UBL5
624,ABHD4
625,LIPA
626,TMA7
627,TMEM50B
628,ISCA2
629,GAB1
630,RAB7A
631,FAM120A
632,UROD
633,ABHD3
634,COMMD4
635,LMAN2
636,WDR41
637,FIS1
638,EIF3K
639,PPARGC1A
640,LINC01279
641,STK33
642,PHKB
643,MERTK
644,NDUFB3
645,CHST7
646,TEX264
647,RAB9A
648,ZHX3
649,MBOAT7
650,GPR108
651,LGR6
652,GLO1
653,NBPF10
654,SAMD9L
655,SPPL2B
656,CSTB
657,BLM
658,TRAPPC5
659,HRSP12
660,MAN2B1
661,COX6C
662,TLE1
663,NECAP2
664,NEIL2
665,FZD5
666,PDCD6
667,QDPR
668,SLC35G2
669,NPDC1
670,ABHD14B
671,ASMTL
672,VMP1
673,BCL2L12
674,MAEL
675,C19orf53
676,SCCPDH
677,TMEM134
678,PRKCSH
679,DDR1
680,SHISA5
681,RAD23A
682,AGPAT5
683,DNAJC3
684,SMIM7
685,P2RY14
686,SIAE
687,TBCB
688,TMED5
689,TNFAIP6
690,TMX1
691,FDFT1
692,GNAI2
693,PDIA4
694,LRP10
695,STON2
696,MYH9
697,TWF1
698,CDK14
699,FAM120C
700,TTYH3
701,ELOVL5
702,GNA12
703,PSMB10
704,RAB7B
705,ARSJ
706,PLOD2
707,CRAT
708,LYRM5
709,LINC00998
710,CAPN5
711,CNR1
712,NCSTN
713,STIM1
714,NBN
715,ETV6
716,TMTC3
717,PYCR2
718,EFR3A
719,SFRP4
720,NAA38
721,SH3BGRL
722,THSD1
723,SP110
724,RIN1
725,DMD
726,SWAP70
727,PSMB8-AS1
728,LPAR6
729,KIF13B
730,TMEM140
731,HEXB
732,GABARAPL2
733,PTAR1
734,ATP6AP1
735,CDH2
736,EHD2
737,CLDN10
738,ABLIM1
739,POLR2J
740,AIF1L
741,SLC4A2
742,LHPP
743,ZFHX4-AS1
744,SPATS2L
745,GSN
746,CETN2
747,COX6B1
748,ACOT1
749,ATP11A
750,DSTN
751,CORO1B
752,CPNE2
753,CD59
754,CMC4
755,TMEM219
756,AGMO
757,FGFRL1
758,SPCS2
759,MTRNR2L9
760,TRAM2
761,STRADB
762,PTK2B
763,WDR13
764,SMOX
765,RREB1
766,GSS
767,CRELD2
768,NPC1
769,GPC1
770,GPD1L
771,TMEM109
772,FGF1
773,IFFO1
774,DPY19L3
775,NR2E1
776,ELK3
777,ATP5J2
778,CTDSP1
779,ADD1
780,ZNHIT1
781,STIM2
782,PIAS3
783,BCAR3
784,KLF9
785,TSPAN4
786,SNX7
787,ATP13A4-AS1
788,STK17A
789,CNP
790,ARF3
791,ALKBH7
792,PCSK5
793,ATP2B1
794,JOSD2
795,TPM2
796,PDLIM4
797,IGSF11
798,CERS2
799,DKK3
800,RAC1
801,PARP4
802,TLN2
803,METRN
804,MTRNR2L4
805,TTLL4
806,PDZD11
807,HMGCS1
808,LDHA
809,RPL28
810,CD302
811,ZDHHC24
812,DCTD
813,FZD7
814,TPD52
815,ARHGAP12
816,GAPDH
817,PIGS
818,SIRPA
819,NIPAL3
820,SH3BGRL3
821,ILVBL
822,PLCG1
823,IMPACT
824,ACTN1
825,CYP27A1
826,TGFB1I1
827,RSU1
828,MAOB
829,STK3
830,FLNA
831,GADD45A
832,ZMYM6NB
833,RNF213
834,TMEM176B
835,ANGPTL1
836,GRIA1
837,COA5
838,ARAF
839,CTSO
840,SPTBN1
841,CLDND1
842,NACC2
843,SOCS3
844,GLMP
845,GLG1
846,GPAA1
847,RYR3
848,PPP1R1C
849,CPNE4
