,0
0,DBI
1,LDHB
2,PTPRZ1
3,OLIG2
4,OLIG1
5,BCAN
6,PFN1
7,AIF1L
8,CKB
9,ETV1
10,MTRNR2L8
11,MTRNR2L1
12,DSEL
13,SLC25A5
14,MTRNR2L2
15,WSCD1
16,ILDR2
17,TRAF4
18,MTRNR2L9
19,GPM6B
20,MYO10
21,MTRNR2L6
22,NME1
23,PTN
24,PPIA
25,NES
26,POLR2F
27,TCF12
28,PDE4B
29,C3orf70
30,EIF5A
31,MAP3K1
32,RPL23A
33,C8orf46
34,NOTCH1
35,DNMT1
36,NOVA1
37,MTRNR2L10
38,EPN2
39,NME2
40,PMP2
41,RPLP1
42,LIMA1
43,PSAT1
44,NDUFS6
45,UHRF1
46,PPIB
47,SALL3
48,LDLRAD3
49,SPATA6
50,ADGRG1
51,LINC01351
52,PGD
53,ATP5G2
54,NID1
55,PEAK1
56,CREB5
57,PARK7
58,TSPAN12
59,SOX2-OT
60,SNRPD1
61,MAGED1
62,LSM4
63,CDK2AP1
64,TSPAN3
65,TANC1
66,PPP1CA
67,PHB
68,GINS2
69,COL9A3
70,FABP7
71,CBX5
72,LSM7
73,PRKDC
74,RNF157
75,SET
76,COX5A
77,MTRNR2L3
78,PCDHGC3
79,C1orf61
80,RPS27L
81,TRIB2
82,C17orf89
83,SRI
84,ACAP3
85,COX6A1
86,ANP32B
87,METRN
88,COX6C
89,C1QBP
90,ABHD2
91,IDH1
92,SDC3
93,CYC1
94,RNASEH2A
95,CCDC167
96,SNRPF
97,NDUFA4
98,CFL1
99,CSPG4
100,DISC1
101,ETV5
102,AHCY
103,ATP6V0E2
104,RAB31
105,CCT3
106,FIBIN
107,MCM5
108,NLGN3
109,ANP32A
110,CDC7
111,UQCR10
112,MRPL12
113,CCND2
114,PRCP
115,GSTP1
116,PRDX2
117,SEC11C
118,GRHPR
119,RASSF2
120,PARP1
121,LRRN1
122,G3BP1
123,ELAVL1
124,NDUFS8
125,MCM4
126,FADS2
127,C19orf48
128,TLCD1
129,FAM212B
130,MTRNR2L4
131,TIMM13
132,CSPG5
133,ATP5A1
134,KNOP1
135,G6PC3
136,YWHAE
137,PDGFRA
138,HNRNPF
139,CKLF
140,IDH2
141,SNRPB
142,ZEB1
143,PA2G4
144,SH3KBP1
145,RAN
146,NDE1
147,FANCI
148,MCM2
149,COX8A
150,GPX1
151,NDUFB2
152,BANF1
153,UBB
154,LRRK2
155,APBB2
156,NHP2
157,GPS1
158,HNRNPM
159,PSMA4
160,ASRGL1
161,THYN1
162,PRMT1
163,SKA2
164,HINT1
165,RPLP0
166,SIGMAR1
167,ARL4A
168,C20orf27
169,BLOC1S1
170,RTKN
171,DOCK10
172,SNRNP25
173,TUFM
174,CS
175,MCM6
176,HAUS1
177,FREM2
178,TXN2
179,MRPS11
180,CNPY2
181,NOP10
182,RPS26
183,BLM
184,BSG
185,PON2
186,UQCR11
187,ATP13A4
188,NUTF2
189,RAB1B
190,HIGD2A
191,TUBG1
192,DCTPP1
193,ARL2BP
194,NDUFA3
195,HSD17B10
196,TYMS
197,SNHG16
198,SNRPA
199,MPDU1
200,ATP5E
201,CREM
202,NME1-NME2
203,CMTM3
204,SRGAP2
205,DHFR
206,PSMC5
207,RUVBL1
208,CCND1
209,SETD5
210,H3F3AP4
211,EIF6
212,EDF1
213,DAP
214,HNRNPD
215,MAGI1
216,ATP5G1
217,BRD7
218,CST3
219,TIMELESS
220,EEF1D
221,PHPT1
222,POLD2
223,PHLPP1
224,NONO
225,SNHG19
226,HELLS
227,PSMA7
228,LSM2
229,HSBP1
230,JAM3
231,HMGB1
232,CENPK
233,ANAPC11
234,POLR2E
235,NDUFB10
236,TOMM22
237,LEPROTL1
238,HIP1
239,SOX2
240,FANCA
241,TACC2
242,NPAS3
243,RPS7
244,POLR2L
245,TTYH1
246,CENPU
247,PRMT6
248,S100B
249,PSMD8
250,BCHE
251,SRPRB
252,ELP6
253,NASP
254,NDUFB8
255,SLIT1
256,MRPL24
257,CHST11
258,HNRNPA3
259,COX7B
260,COA4
261,NIPA2
262,FANCD2
263,PUF60
264,DHX9
265,NDUFB9
266,STRA13
267,MRPS28
268,SCHIP1
269,NDUFC1
270,GPSM2
271,ALKBH2
272,MFGE8
273,PSMB6
274,SNX1
275,ATP5L
276,KCNIP1
277,C17orf49
278,TRAF7
279,SLC29A1
280,RPL19
281,ILF2
282,MCM3
283,C9orf142
284,TRIM9
285,MMP2
286,C9orf16
287,RNPS1
288,SMC2
289,PPA1
290,PREX1
291,MAP2
292,YBX1
293,SNRPD2
294,TIPIN
295,DNAJC9
296,CCT5
297,GSX1
298,PLEKHB1
299,DEK
300,DNPH1
301,BRINP3
302,FDPS
303,PTBP1
304,CCDC124
305,SEC11A
