GENE,0
FCER1A,42828.07459130916
S100A12,16561.887622007023
FPR1,7708.468922197198
CD3D,7157.801729415827
AMICA1,6995.20634065423
CD163,6914.795210195694
LILRA2,6601.322054968258
GZMK,5289.522555869833
VSIG4,4125.646794005913
FCGR3A,3816.061657965114
HCK,3343.589559321002
MS4A4A,3277.6655863986134
SUSD3,3266.8837293271085
LILRB4,3172.1681949835365
MS4A6A,2990.1639710311433
SIGLEC9,2856.1055639668753
SLCO2B1,2763.2181256842628
RGS1,2753.068359379672
CCL3L1,2408.466209851903
FCN1,2407.5828271890123
CCR5,2393.345199615553
HLA-DQA1,2387.579463515329
CD3E,2369.3038249266324
C1QC,2204.632968456618
OLR1,2199.1362094236415
C1QA,2150.333474120547
C1QB,2079.442934903427
SIGLEC7,2065.424195685671
OPALIN,1912.1705225603203
CSF3R,1801.842079580478
CD53,1731.058908924448
CCL3,1668.0171960533496
LILRA1,1658.5113463334817
FOLR2,1650.2686348746684
CLEC9A,1625.8649467872422
OSM,1596.8307071828795
MNDA,1564.7002258610862
NAPSB,1543.4992251828403
CCL4,1491.576983431335
PLD4,1319.7676995569711
TREM2,1313.5497044804172
LY86,1289.6772765601452
LYVE1,1242.884973731233
CCL3L3,1150.1109996426032
LILRA4,1137.0993962338669
CD300C,1131.9392619139192
KYNU,1088.2580841671886
CSF1R,1064.2563014608259
GZMA,1058.3219687790083
GIMAP6,1021.1896024089067
ITGB2,1020.3404272673658
SAMSN1,1006.2246046379954
APBB1IP,1004.386580676419
RNASE2,1003.9487546585467
HLA-DQA2,981.3000410636196
CCL4L2,978.7269659444863
ABI3,978.4315671829454
CCL4L1,969.7836946469993
RGS18,926.7235075767321
PARVG,923.8221673840393
STAB1,889.2289114169783
PLEK,885.3043519512008
CD86,869.1174598599972
FCGR1C,861.073207922788
MSR1,851.0707703101118
AIF1,840.7510178449094
CYBB,826.8362796101233
TYROBP,826.5460559371184
PIK3R5,815.463930132464
CNDP1,802.9224976829732
RNASE6,801.2632874957787
SRGN,788.7656354825475
CCRL2,783.3082310857262
HCLS1,777.5139252421817
CSF2RB,777.3755279900685
S100A8,762.0323146489052
BIN2,737.9578067238212
CD33,737.1761264620883
CX3CR1,736.4761253755013
GZMH,728.2612155825627
FCGR2B,727.7817253842601
AREG,725.0698191873836
CD300A,703.4213764125731
ADORA3,702.2440611461689
LAPTM5,699.7883003790457
DOCK8,685.8252716159078
ADAMDEC1,676.1305095645749
ATP8B4,652.0088290230915
CLEC12A,639.502440416223
S100A9,638.9075811016035
CD8B,623.8428194680056
FCER1G,621.3542738625001
NCKAP1L,607.7772745506311
NCF4,595.1198689862896
CD48,591.8931725577913
CYTH4,579.2451255162835
FPR2,576.006367109195
LILRB2,573.2772339589956
VAV1,564.0347797448405
C3AR1,559.8954906097044
HLA-DQB1,531.1264137938695
FCGR1A,526.6791537029402
ALOX5AP,522.8491948797864
TRPM2,517.92980373253
CD4,495.0636634059485
ITGAM,493.60945834598397
TBXAS1,486.4081766607853
SASH3,485.1499373945773
DPEP2,482.3147682272096
HLA-DRB6,475.7073443836535
MS4A7,475.65482465444427
IRF8,466.32967433817265
IL7R,463.0675907991781
CD14,453.78922122542
HLA-DPA1,444.8233031940395
ICOS,444.44092541723535
FGD2,423.319046009184
MYO1F,421.96571690513167
GIMAP4,416.7190785666926
ANKRD22,413.7881173171112
DOCK2,412.4286781140276
NCF1,411.8405972252268
FCGR3B,411.8071241541963
IL10RA,410.11131260519096
HLA-DRB5,405.69190421460246
LCP2,400.0543976588126
CD37,397.7467297117527
CD300LF,395.8859044435028
TMEM125,385.78485861718104
CD69,382.0324763327912
GPR183,381.5299309519698
IGSF6,379.9565344258532
HLA-DMB,368.69432731949286
TRAF3IP3,368.4392534072316
HAMP,362.5961118849195
LPAR5,356.7015811263706
TLR2,344.6519725225386
PTPRC,342.7867094391116
SLC11A1,334.9194664875051
MS4A14,332.63877878564597
CD74,330.93737559667755
IKZF1,326.7793344686973
RCSD1,324.8858913839912
HLA-DRB1,316.02936683791245
CCL20,313.9823114049473
GMFG,295.4586825638298
ALOX5,291.8572291691724
LCP1,286.1091886606372
FCGBP,269.80374370059377
LCK,269.3887325237276
TREML1,261.14640040459506
ADAM28,258.00960697076357
MRC1,257.50640877964344
MPEG1,254.59888721395498
FAM177B,254.45453135417142
ERMN,250.9773459487649
APOC2,249.5173651244871
FAM26F,247.99381343229652
CYTIP,247.6615218167271
BCL2A1,247.5056713235334
GGTA1P,243.3689706908154
SERPINA1,242.3316680074881
BLNK,242.15212005017975
HLA-DRA,240.33305425741426
IL1RN,239.05977392550332
MAG,238.90106979457323
ARHGDIB,236.92108415020607
IL1B,226.26269786787762
C1orf162,221.71495837348402
P2RY12,220.59602500958678
THBD,217.94726362733326
ADAP2,216.94792051973863
TAGAP,216.85576751242863
FCGR2C,216.5580880540248
CD52,211.79975236640203
PTPN6,208.60203278246925
TNFSF8,204.56809282566138
TARP,203.3669768087625
CXCL1,203.34095233887442
HK3,202.0343270834391
S100A4,199.84249763607178
DOK2,199.2201395413313
APOC1,197.15902183005628
CSTA,194.71539485186997
ITGB2-AS1,193.1541611081763
EBI3,190.0429159182115
HCST,189.8089181108939
TNF,189.21698445608328
HLA-DPB1,183.03008770865856
SLC7A7,181.6547758524206
DENND1C,178.1012223046897
SCIN,177.28334001695998
IFI30,174.67987236008523
TMEM52B,174.2894203076429
KLK6,173.75146221531688
SLC5A11,173.51705874654985
CLEC17A,172.21451699940624
DHRS9,170.39945064982257
CD93,169.05993616645642
CD2,168.18931703068284
