,0
0,DLL3
1,NKAIN4
2,MTSS1
3,DSEL
4,NEU4
5,CHD7
6,COL20A1
7,ZNF462
8,MAP2
9,FXYD6
10,PTPRS
11,SERINC5
12,OLIG2
13,SOX8
14,DOCK10
15,OLIG1
16,SCD5
17,TCF12
18,BCAN
19,TNK2
20,NCAM1
21,ASCL1
22,TNR
23,ABAT
24,LMF1
25,ZDHHC22
26,LRRN1
27,CXXC4
28,PDGFRA
29,SOX6
30,OMG
31,MARCKSL1
32,GLCCI1
33,CNTN1
34,ALCAM
35,SMOC1
36,CTTNBP2
37,NOTCH1
38,PTPRZ1
39,CSMD1
40,PCDH15
41,CADM2
42,NKD1
43,MIR4697HG
44,LHFPL3
45,SOX2-OT
46,LPPR1
47,GRIK2
48,GRIA2
49,SLITRK1
50,SLITRK2
51,SNX22
52,FAM110B
53,DLL1
54,TSPAN11
55,MAML2
56,TRAF4
57,HES6
58,IGSF9B
59,MARCKS
60,SHD
61,P2RX7
62,GRIK3
63,DNM3
64,APBB2
65,LIMA1
66,ACAP3
67,FERMT1
68,CORO7
69,PTMA
70,HIP1
71,ZEB2
72,CLASP2
73,LRP6
74,PID1
75,PHYHIPL
76,GPM6A
77,RTN3
78,UGT8
79,H3F3AP4
80,KLRC3
81,DSCAM
82,LHFPL3-AS1
83,NRXN1
84,REV3L
85,GSX1
86,PCDH11X
87,TUBA1A
88,PHACTR3
89,HIPK2
90,LINC00643
91,SCN3A
92,BRINP2
93,LDHB
94,MYT1
95,PLXNB1
96,SLIT1
97,MMP16
98,CBX5
99,LUZP2
100,HIP1R
101,ST3GAL5
102,KLRC2
103,POLR2F
104,MAGED1
105,NXPH1
106,SOX5
107,ADGRL3
108,MAGI1
109,ANGPTL2
110,LINC00925
111,STMN1
112,CCND1
113,LRRK2
114,ADGRA1
115,PCDH11Y
116,CALCRL
117,KCND2
118,ZCCHC24
119,SETD5
120,KIZ
121,HNRNPDL
122,SOX4
123,SATB1
124,CORO1C
125,AMOTL2
126,QKI
127,MEGF11
128,SKIL
129,PTCH1
130,CSPG4
131,LDLRAD3
132,LOC101928100
133,SALL3
134,CRB1
135,THY1
136,KLRC4
137,NPPA
138,AFAP1L2
139,SEMA5A
140,EPN2
141,ANTXR1
142,VCAN
143,RTKN
144,ZNF827
145,ASIC1
146,BRD3
147,HNRNPA1
148,SCG3
149,ETV1
150,CA10
151,ATCAY
152,VIPR2
153,S1PR2
154,CSNK1E
155,SH3D19
156,NOVA1
157,ELMO1
158,ARHGEF7
159,GRID2
160,PPP1R9A
161,FOXN2
162,TTC3
163,DSCAML1
164,SLC44A1
165,C8orf46
166,C3orf70
167,MAGI2
168,LRRC4C
169,TACC2
170,FAM222A
171,MATR3
172,KCNA2
173,CMTM5
174,DBN1
175,LINC00689
176,LINC00673
177,KCNJ10
178,PRSS48
179,MOB3B
180,ATF7IP
181,C1orf106
182,RCBTB1
183,EPHB1
184,ANGEL1
185,C2orf27A
186,EFS
187,STRIP2
188,JMJD1C
189,NCAM2
190,TLE3
191,ATP1A3
192,UBB
193,LOC101930452
194,RBPJ
195,NIN
196,ZNF276
197,CHRNA4
198,GATSL2
199,LOC400940
200,BCHE
201,NTRK3
202,ADAM22
203,GALNT13
204,NETO1
205,CDH10
206,DISC1
207,KLF12
208,KCNQ1OT1
209,LRRTM2
210,MTSS1L
211,ZMIZ1
212,OPHN1
213,FGD3
214,MAP1A
215,TRAF3IP2-AS1
216,DIP2B
217,TSC22D1
218,DBI
219,ETNK1
220,SYT11
221,CNP
222,LINC01296
223,LINC01322
224,RNF144A
225,PTPRO
226,FBN3
227,CBX3
228,RFTN2
229,ARPP21
230,SOX13
231,FLJ16779
232,TBX5
233,TAOK3
234,MMP2
235,TSPAN7
236,ST6GAL1
237,CYTH1
238,MARCH1
239,MYO10
240,CDK4
241,BCL7A
242,AMZ1
243,ELFN2
244,SCAMP5
245,WSCD1
246,FGF12
247,RCC2
248,CSMD3
249,ZNF124
250,DNER
251,LRRC4
252,MAPT
253,KLRK1
254,LINGO1
255,CDH13
256,SOX11
257,PLEKHG3
258,USP3
259,CRIPT
260,SHISA7
261,GPM6B
262,HNRNPA2B1
263,CSPG5
264,PODXL2
265,SET
266,RBM4
267,B3GNT7
268,GUSBP1
269,EIF4G3
270,ADGRG1
271,COL4A3
272,SH3BP4
273,LNX1
274,KLHL7
275,CCDC88A
276,GAREML
277,PEAK1
278,MAP3K1
279,FCHSD2
280,DGKB
281,EPN2-AS1
282,LINC01546
283,PFN2
284,LOC340512
285,KCNIP4-IT1
286,TAGLN3
287,USP43
288,CELF2
289,DNM3OS
290,GRIA3
291,PIK3C2B
292,XYLT1
293,KCNIP3
294,CBR4
295,CEP97
296,HNRNPK
297,ICA1
298,FAM13C
299,SCRG1
300,RAB31
301,ZNF711
302,LGR5
303,LOC102723927
304,TMEM100
305,ZNF649
306,TSPAN3
307,FAM19A5
308,RAPGEF4
309,GRIK4
310,KIF19
311,C1QL1
312,VWA2
313,B4GALNT1
314,LRRTM1
315,CDR1
316,RPL15
317,LOC729348
318,PTPRD
319,PROM1
320,CDH20
321,LOC101928936
322,FGF14-IT1
323,KIF18B
324,RNF165
325,CDHR1
326,TANC1
327,FAM212B
328,TSPAN12
329,ANKRD20A12P
330,SMARCC1
331,UCP2
332,ENAH
333,ATRX
334,APBA2
335,SNRK
336,LSAMP
337,ATP2B2
338,ATAT1
339,BEX4
340,DRP2
341,PRR36
342,THRA
343,SNX1
344,MFF
345,RUNDC3A
346,NCKAP5
347,ANKRD20A9P
348,ST6GAL2
349,FYN
350,LRCH3
351,RAB33A
352,GABRA3
353,ABCG1
354,HRASLS
355,SOX10
356,KLHL23
357,SIX1
358,MUM1
359,ASTN2
360,ANKRD20A5P
361,WNK3
362,NLGN1
363,CREB5
364,TRAPPC2
365,MORC2-AS1
366,KAT7
367,TUBB2B
368,LRRC37A4P
369,BRINP3
370,ARHGEF9
371,LBR
372,GATS
373,FIP1L1
374,PCDHGC4
375,GSTA4
376,AIF1L
377,NTM
378,PROSER1
379,CCND2
380,GTF2IP1
381,DUXAP8
382,GPSM2
383,UNC80
384,RPS6KL1
385,CTNNA2
386,DNM3-IT1
387,ZDHHC11
388,ZNF195
389,CDKN2A
390,RNF150
391,PELI1
392,NLGN3
393,CYFIP2
394,C1orf61
395,CCDC144B
396,SMC6
397,NR0B1
398,PHF14
399,DCX
400,ASIC4
401,GPR82
402,SPIN3
403,CSMD2
404,VEZF1
405,UST
406,MIR181A2HG
407,MTMR9LP
408,SPSB4
409,NLGN4X
410,RFX5
411,NRXN2
412,CRMP1
413,LMCD1-AS1
414,ZKSCAN1
415,LOC100128239
416,ARHGAP35
417,MLLT11
418,LINC00888
419,VASH1
420,GPC2
421,RASSF2
422,NONO
423,NKX2-2
424,SLC43A2
425,KIAA1755
426,PHF12
427,ZNF74
428,CHD3
429,SAPCD2
430,NLGN2
431,SEPT8
432,SCFD2
433,LOC101926889
434,FAR2P2
435,MFNG
436,RBP1
437,SUSD5
438,ANKS1B
439,RGR
440,DCAF4L2
441,SRPK2
442,LOC101929147
443,ACTR1A
444,CACNG4
445,OR7E156P
446,TMEM257
447,SHC3
448,DPP6
449,SLC26A10
450,PIK3R1
451,PTBP2
452,ZFYVE16
453,CHST11
454,RIN2
455,COL4A4
456,SERPINE2
457,ATRNL1
458,PTPRK
459,COL11A1
460,TTC39C
461,C11orf39
462,CDC42SE1
463,SMARCA4
464,CEP68
465,KAT2B
466,MDM4
467,ACKR3
468,CADM4
469,PHLPP1
470,MGC2889
471,ZEB1
472,SRI
473,RAP1GAP
474,TOP2B
475,PCBP4
476,KY
477,RBMX
478,SMARCD1
479,NOL4
480,CCDC50
