"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143"
"StromalSignature","estimate","DCN","PAPPA","SFRP4","THBS2","LY86","CXCL14","FOXF1","COL10A1","ACTG2","APBB1IP","SH2D1A","SULF1","MSR1","C3AR1","FAP","PTGIS","ITGBL1","BGN","CXCL12","ECM2","FCGR2A","MS4A4A","WISP1","COL1A2","MS4A6A","EDNRA","VCAM1","GPR124","SCUBE2","AIF1","HEPH","LUM","PTGER3","RUNX1T1","CDH5","PIK3R5","RAMP3","LDB2","COX7A1","EDIL3","DDR2","FCGR2B","LPPR4","COL15A1","AOC3","ITIH3","FMO1","PRKG1","PLXDC1","VSIG4","COL6A3","SGCD","COL3A1","F13A1","OLFML1","IGSF6","COMP","HGF","GIMAP5","ABCA6","ITGAM","MAF","ITM2A","CLEC7A","ASPN","LRRC15","ERG","CD86","TRAT1","COL8A2","TCF21","CD93","CD163","GREM1","LMOD1","TLR2","ZEB2","C1QB","KCNJ8","KDR","CD33","RASGRP3","TNFSF4","CCR1","CSF1R","BTK","MFAP5","MXRA5","ISLR","ARHGAP28","ZFPM2","TLR7","ADAM12","OLFML2B","ENPP2","CILP","SIGLEC1","SPON2","PLXNC1","ADAMTS5","SAMSN1","CH25H","COL14A1","EMCN","RGS4","PCDH12","RARRES2","CD248","PDGFRB","C1QA","COL5A3","IGF1","SP140","TFEC","TNN","ATP8B4","ZNF423","FRZB","SERPING1","ENPEP","CD14","DIO2","FPR1","IL18R1","HDC","TXNDC3","PDE2A","RSAD2","ITIH5","FASLG","MMP3","NOX4","WNT2","LRRC32","CXCL9","ODZ4","FBLN2","EGFL6","IL1B","SPON1","CD200"
"ImmuneSignature","estimate","LCP2","LSP1","FYB","PLEK","HCK","IL10RA","LILRB1","NCKAP1L","LAIR1","NCF2","CYBB","PTPRC","IL7R","LAPTM5","CD53","EVI2B","SLA","ITGB2","GIMAP4","MYO1F","HCLS1","MNDA","IL2RG","CD48","AOAH","CCL5","LTB","GMFG","GIMAP6","GZMK","LST1","GPR65","LILRB2","WIPF1","CD37","BIN2","FCER1G","IKZF1","TYROBP","FGL2","FLI1","IRF8","ARHGAP15","SH2B3","TNFRSF1B","DOCK2","CD2","ARHGEF6","CORO1A","LY96","LYZ","ITGAL","TNFAIP3","RNASE6","TGFB1","PSTPIP1","CST7","RGS1","FGR","SELL","MICAL1","TRAF3IP3","ITGA4","MAFB","ARHGDIB","IL4R","RHOH","HLA-DPA1","NKG7","NCF4","LPXN","ITK","SELPLG","HLA-DPB1","CD3D","CD300A","IL2RB","ADCY7","PTGER4","SRGN","CD247","CCR7","MSN","ALOX5AP","PTGER2","RAC2","GBP2","VAV1","CLEC2B","P2RY14","NFKBIA","S100A9","IFI30","MFSD1","RASSF2","TPP1","RHOG","CLEC4A","GZMB","PVRIG","S100A8","CASP1","BCL2A1","HLA-E","KLRB1","GNLY","RAB27A","IL18RAP","TPST2","EMP3","GMIP","LCK","IL32","PTPRCAP","LGALS9","CCDC69","SAMHD1","TAP1","GBP1","CTSS","GZMH","ADAM8","GLRX","PRF1","CD69","HLA-B","HLA-DMA","CD74","KLRK1","PTPRE","HLA-DRA","VNN2","TCIRG1","RABGAP1L","CSTA","ZAP70","HLA-F","HLA-G","CD52","CD302","CD27"
