,0
0,SOX4
1,DCX
2,CD24
3,ELAVL4
4,STMN2
5,SOX11
6,TUBB3
7,MIAT
8,STMN1
9,HMP19
10,RND3
11,PTPRS
12,IGFBPL1
13,DLX5
14,MLLT11
15,MYT1L
16,DLX6-AS1
17,TAGLN3
18,NFIB
19,RBFOX2
20,NEDD4L
21,CELF3
22,ATCAY
23,NREP
24,MAP1B
25,CELSR3
26,GSE1
27,NSG1
28,DYNC1I1
29,STMN4
30,CCL5
31,ODF2L
32,DLX6
33,PAK3
34,NFIX
35,LOC100131257
36,FNBP1L
37,TCF4
38,SEPT3
39,KCNH7
40,GPC2
41,FBLIM1
42,DBN1
43,HN1
44,LYZ
45,KIF5C
46,KIF21B
47,LINC00504
48,DLX1
49,MEX3A
50,ORC4
51,DPYSL3
52,PKIA
53,TTC3
54,DLX2
55,DPYSL5
56,INSM1
57,MARCH6
58,SYT1
59,THSD7A
60,TLCD2
61,LOC643406
62,TMEM212
63,SVOP
64,ACTL6B
65,LINC01105
66,SCN3B
67,CHD7
68,CELF4
69,ZBTB8A
70,ATP1A3
71,LOC646214
72,IFNLR1
73,NXN
74,ZNF793
75,KCNQ1OT1
76,PRKAR2A-AS1
77,LBH
78,TMEM161B-AS1
79,KLHL35
80,GATSL2
81,IKZF3
82,ARHGEF26-AS1
83,SNAP25
84,LINC00506
85,ENAH
86,KLHDC8A
87,SLC38A1
88,CRX
89,LINC00294
90,CEP170
91,MEIS2
92,CELF5
93,GDAP1L1
94,ZNF286A
95,RNF122
96,L2HGDH
97,RAB3A
98,NNAT
99,TUBB
100,KIAA0408
101,PIK3R3
102,NCAN
103,CRMP1
104,LOC101927374
105,CLASP2
106,CDK5R1
107,ATAT1
108,UCKL1-AS1
109,ZC2HC1A
110,MICAL1
111,ST18
112,LOC100129434
113,BCL11A
114,TOX
115,RBP1
116,TUBB4A
117,MAB21L3
118,AKAP9
119,ROR1-AS1
120,SRGAP3
121,CBFA2T2
122,KIF5A
123,NOL4L
124,PRICKLE2-AS3
125,LINC01102
126,BASP1
127,SPN
128,LOC286437
129,EP300-AS1
130,LINC00599
131,INMT
132,AP1S3
133,ASTN2
134,SMPD3
135,PARP15
136,TUBA1A
137,UGDH-AS1
138,SETBP1
139,ARL4D
140,POU5F1
141,LOC101929415
142,PFN2
143,MIR99AHG
144,LOC440300
145,PTCHD2
146,TCAF1
147,ZC3H12D
148,ADAMTS4
149,LOC101926898
150,KLF7
151,LOC101929567
152,GNE
153,NRXN3
154,RUNDC1
155,KMT2E
156,MAST1
157,INA
158,IRGQ
159,CASC15
160,TERF2IP
161,HDAC2
162,LRTOMT
163,STXBP1
164,LOC101927740
165,ONECUT2
166,TNFAIP8L1
167,AUTS2
168,ZKSCAN3
169,ERV3-1
170,RAMP2-AS1
171,SRRM4
172,ELAVL3
173,GREB1
174,ANKRD20A9P
175,KIN
176,TMSB15A
177,ARGFX
178,PRKX
179,LOC101926889
180,NLRP12
181,CDCA7
182,KIF3C
183,PLXNA4
184,PDE4C
185,EXD1
186,PDE6A
187,PDDC1
188,B4GALNT1
189,KIF1A
190,SH2D3C
191,SHISA9
192,ARL4C
193,L1TD1
194,MBOAT1
195,C14orf132
196,SLFNL1-AS1
197,SPC25
198,ZNF292
199,VSIG1
200,ABCC9
201,MTSS1
202,SLC32A1
203,PLEKHA6
204,TBXA2R
205,ZNF124
206,EPHB2
207,KLRD1
208,LINC01502
209,WDR47
210,SCRT2
211,YWHAG
212,LOC729348
213,SHOX
214,CCNG2
215,CCDC142
216,DCC
217,LOC284023
218,LINC01441
219,DLEU2
220,PSTPIP2
221,ZNF101
222,RUSC2
223,SCG3
224,LINC00824
225,PCDH11Y
226,FBXO27
227,KIAA1549
228,RMST
229,MEFV
230,BRD3
231,GSTA4
232,XKR9
233,ZNF536
234,FAM117B
235,GDAP1
236,LINC01012
237,JUP
238,STX1A
239,EPB41
240,TULP4
241,RNF44
242,RTN4
243,LPAL2
244,LOC100335030
245,LOC440446
246,NMNAT1
247,MAP1LC3C
248,LOC400940
249,ENTPD1-AS1
250,C17orf75
251,SPAG9
252,MIRLET7BHG
253,DAND5
254,LINC01563
255,FLJ42102
256,LOC100996251
257,DDX51
258,BTG1
259,ZNF713
260,RUNDC3A-AS1
261,SOGA3
262,MLLT4
263,ZNF737
264,KIAA0895L
265,FCAR
266,TRIM58
267,MYT1
268,DDAH2
269,MAP2
270,UCHL1
271,TMEM35
272,ROBO1
273,LOC55338
274,FRMD4A
275,STARD4-AS1
276,QPCTL
277,FDPSP2
278,TMEM2
279,UBE2Q2P1
280,KCNA7
281,CABP4
282,MALAT1
283,BRIP1
284,CACNA2D1
285,APLP1
286,LINC01530
287,UNC79
288,NHLH1
289,ATP1B1
290,LOC102724699
291,PTMA
292,MEIS3
293,ZNF286B
294,CD200
295,KIDINS220
296,ZNF669
297,MAP4K4
298,NYAP2
299,SPAST
300,REEP1
301,BCL7A
302,LOC101929259
303,SGSM1
304,ST8SIA4
305,TSPAN13
306,ELAVL2
307,AFF3
308,PRKAR2B
309,HECW1
310,PDP1
311,DCHS1
312,LOC101928936
313,KIAA1324
314,FLJ31356
315,INGX
316,DSCAML1
317,AMER3
318,SBK1
319,CNTN2
320,SLC14A2
321,BSN
322,SCAI
323,MAPK10
324,FAM53B-AS1
325,GFOD2
326,CHGB
327,KLHL24
328,ATRX
329,FUT1
330,RGMB
331,ZNF490
332,TRIM36
333,DUSP8
334,TFDP2
335,HDAC9
336,TOX3
337,GK5
338,MYLK3
339,H3F3AP4
340,OPHN1
341,ZFAND5
342,TUBB2B
343,HNF1A-AS1
344,FOXO3B
345,LINC00485
346,KCNJ3
347,MAST2
348,RIMS3
349,LOC100506688
350,MAP6
351,TBC1D24
352,KALRN
353,ERC2
354,AGMAT
355,ANK3
356,RPS6KL1
357,MIR124-2HG
358,GATS
359,CLEC4GP1
360,PCDHA9
361,LOC101929586
362,CSRNP3
363,RNF125
364,WNK2
365,GGT6
366,LOC101928514
367,LMBR1L
368,CERS6
369,CD84
370,LAIR1
371,SEZ6
372,PLK2
373,GNG2
374,GTF2IP1
375,DCUN1D2
376,HID1
377,LOC284950
378,GNRHR2
379,L1CAM
380,MARCKSL1
381,PAK7
382,MOG
383,GDPD1
384,ZAK
385,LRRC57
386,FSCN1
387,SRRM3
388,NDRG4
389,RAB12
390,TMEM130
391,NFIA
392,PHACTR4
393,DCLK1
394,RAB3B
395,LOC101929147
396,PROX1
397,ARHGAP33
398,BCL11B
399,STOX2
400,ZYG11A
401,KDM5B
402,MYCBP2
403,DNAJC27-AS1
404,LOC101409256
405,TAF8
406,NRXN1
407,ZNF526
408,LOC101929224
409,DUSP26
410,SLC25A25-AS1
411,NMNAT2
412,LOC101929431
413,PAXBP1-AS1
414,PBRM1
415,SMYD4
416,KLHL23
417,NOL9
418,METTL21A
419,LOC101929570
420,SYT4
421,LINC00970
422,LOC101928590
423,GNAO1
424,PABPC1P2
425,SIX4
426,FGF9
427,SLC43A2
428,LOC101926964
429,SPIB
430,SLC6A4
431,C1orf229
432,HECTD4
433,ARRDC3-AS1
434,FGD4
435,SYT13
436,DMC1
437,NEXN-AS1
438,GSG1
439,EPHA10
440,ZNF483
441,COPG2IT1
442,PHACTR3
443,KIAA1211
444,GPD1
445,LOC101928600
446,DAAM1
447,LOC727896
448,AGAP3
449,STC1
450,LOC101928809
451,SKA1
452,NRIP3
453,KREMEN1
454,KIAA1107
455,LINC00632
456,TRPV1
457,ADRA1A
458,SLC9A4
459,KBTBD12
460,LINC00670
461,ZKSCAN1
462,POLB
463,PDZRN4
464,IDO1
465,FBXL18
466,CAMK2N1
467,NUAK2
468,CPSF6
469,FGF5
470,LINC00649
471,PDE11A
472,LINC01209
473,SMIM18
474,SCN3A
475,LOC101929698
476,USP22
477,MIR7-3HG
478,SEC14L4
479,AKT3
480,GNG3
