bcell,epi,fibro
AC004941.3,0.000276740186571592,0.000112791842105494,0
AC004947.2,0,0.000230515257416106,0
AC004951.6,0.162271027012966,0.191822125492292,0.134644087782294
AC004988.1,0.000580475766836142,0.000138581389181346,0.00139648778249409
AC005009.1,0,0.00121000716755291,0.000312815425479186
AC005009.2,0,0.000542458504674084,0.00179449630189034
AC005013.5,0,0.000462746205041763,0
AC005019.3,0,0.00027290372869453,0.00196406678605193
AC005037.3,0.00247367029389156,0.00120983636133162,0
AC005042.4,0,0.00468288767673058,0.000785895665652
AC005076.5,0.0104932560926114,0.0303383533623271,0.0340692391902061
AC005082.12,0.000481600282406466,0.0108349265050881,0.00611955910574991
AC005104.3,0,0.000274123574357171,0
AC005150.1,0,0,0
AC005152.3,0.000644322304688225,0.000224131842028535,0
AC005162.5,0,1.60153081490146e-05,0
AC005197.2,0,0.000538376861973391,0
AC005220.3,0.000321581732366212,0.000190300382633165,0.000514387574782952
AC005224.2,0.00465988886459637,0.00333626429032681,0.00356408744453004
AC005235.1,0.000402582713033889,0,0
AC005237.4,0.000790145601570877,0.000212906237640773,0
AC005253.2,0.0254072082120601,0.0108853837021661,0.0110687931987954
AC005253.4,0.00023933375609248,0.000227190806818076,0
AC005256.1,0.000487267365531325,0.0582962549209481,0.00172608932937868
AC005262.2,0,0.00178147600741806,0
AC005264.2,0.000720616385072587,0.000161111124640531,0.000756543724919841
AC005276.1,0,0,0.000996267384616795
AC005281.1,0,0.000484557354057599,0
AC005281.2,0,0.000162145574699753,0
AC005301.8,0,0,0
AC005304.1,0,6.24435997698704e-05,0
AC005307.1,0.000128590149785674,1.13708101431488e-05,0
AC005307.3,0,5.48248143525834e-05,0
AC005324.6,0.000378983572123302,0,0
AC005329.7,0.00103666081446188,0.00180726772543122,0
AC005330.2,0,0.00310771264834162,0
AC005339.2,0.00166140780470202,0.000978067395054429,0.00484298892270916
AC005355.1,0,7.03908584921779e-05,0
AC005355.2,0.000625216168617066,0.0232140180997247,0
AC005358.3,0,0,0
AC005363.11,0.00205817546132689,0.00247928470050531,0.000491254338515155
AC005387.2,0,8.85690812883308e-06,0
AC005387.3,0,0,0
AC005477.1,0,0.0011090953797355,0.00186578515578287
AC005480.1,0.000843713288163062,0.00106130029701346,0.0035996865280265
AC005481.5,0,0.000107015841577342,0.00501428784177226
AC005487.2,0.000193929384771354,0.000217128892998385,0
AC005498.3,0.00181699125191998,0.00827944544086276,0.00946051584334884
AC005498.4,0,0.000109691638319904,0
AC005522.7,0,0,0
AC005523.2,0.0201395824299258,0.0183282879084107,0.00863743367813149
AC005523.3,0.00346925360216559,0.00214418497414407,0.0015581013592744
AC005534.8,0.000544300233980062,0.00194928555079138,0
AC005537.2,0.000188463105550369,0.00275899505615169,0.00614536790178887
AC005540.3,0.00081590977587084,0.000287280990882008,0.00121210379198805
AC005546.2,0,7.46532851278235e-05,0
AC005550.3,0,0.000494640267049373,0.00163079648675907
AC005592.1,0,0.00280077645272814,0
AC005592.2,0,0.0075767257202828,0.00326028012766005
AC005592.3,0,0.00154518208876835,0.00138813905766061
AC005597.1,0,1.60842213838086e-05,0
AC005606.14,0,0.000174333144430684,0
AC005606.15,0,0.00028942698032352,0
AC005609.16,0,1.69095196662567e-05,0
AC005609.17,0,0.00252342741206107,0.00279662729259428
AC005609.18,0,0.00153952858369119,0
AC005609.20,0,0.00136479070936481,0.000516537579307888
AC005614.3,0.000469770976561547,0.000398524315041795,0.000719452151575618
AC005616.1,0,9.22253152656231e-06,0
AC005616.2,0.000357087355565306,0.000149941120443222,0
AC005618.6,0.00171383007093863,0.00464803638507439,0.00174577985834977
AC005618.9,0.000208597835388606,4.33089736782747e-05,0
AC005624.2,0.000406580224458305,7.22110088408285e-05,0
AC005625.1,0,0.000223266613543503,0
AC005703.2,0,3.67566122655205e-05,0
AC005703.3,0,0,0
AC005740.5,0,0,0
AC005740.6,0.000447701322330626,0.000727756103146432,0.000458286782853365
AC005754.7,0,0.000609869160454343,0.000551621117931906
AC005754.8,0,0.00171216836280406,0.0061816341009814
AC005757.6,0.00125799282575997,0.000211753305705802,0
AC005775.2,0,0.000711958928436439,0.000594004109570807
AC005779.2,0,0.000200221554944103,0
AC005780.1,0,0,0
AC005786.5,0.000536851384151647,0.000724238753865962,0.000897734120454238
AC005786.7,0,0.000161597620083814,0.000441468534484719
AC005808.3,0,9.41672415423447e-05,0
AC005863.1,0,0.000311188689877044,0
AC005932.1,0.000187024924716163,0.000442077385546622,0.000984688329814122
AC005944.2,0.00187614730649335,0.00452125496632748,0.00208007566687951
AC005954.4,0.000839143574849242,0.000945946509843636,0.000112451085745595
AC006004.1,0,0.00028726057390522,0
AC006019.4,0,0,0
AC006026.2,0,0,0
AC006041.1,0,7.76491387790367e-05,0
AC006042.6,0,0.00023013651167371,0
AC006042.7,0,4.51306500823876e-05,0
AC006116.12,0.000180412043788457,5.53341835297171e-05,0.000347319942135108
AC006116.17,0.00126106592264159,0.00193933998126091,0.00583174726884314
AC006116.21,0,0.000156100459303849,0
AC006126.3,0.000385828191015203,0.000139463191590683,0.000434321260115976
AC006126.4,0,0,0
AC006129.1,0.00106129175340929,0.000332427797391073,0
AC006129.2,0.140850234084108,0.00263219535371063,0.00340826472902424
AC006145.4,0.000257792340638962,0.00068398212278511,0
AC006159.4,0,0.000574488911059985,0
AC006160.5,0.0021035774405006,0.000964817634470999,0.00041218320899898
AC006262.10,0,0.00222676182268677,0
AC006262.4,0,0.0002608160254807,0.0021669549486254
AC006262.5,0.000216768742386243,0.0140394551965502,0.000532089860612676
AC006272.1,0.000284265086061823,2.33756729885473e-05,0
AC006272.2,0.000332669059754815,0,0
AC006273.4,0,0.0013942554160218,0.00286693328045426
AC006273.5,5.91705444674689e-05,0.0089642935823446,0.00574587053786031
AC006277.2,0.00169859575625664,0.0022576027033021,0.000716019225159212
AC006296.1,0,1.12472591455775e-05,0
AC006296.2,0.000297428693255364,0,0
AC006369.2,0.00484357131621476,6.84757558011997e-05,0
AC006369.3,0,0,0
AC006372.4,0.000354000144998459,0.000236957229728037,0
AC006372.5,0,4.10199267349347e-05,0
AC006372.6,0,0,0
AC006373.1,0,1.57898021868898e-05,0
AC006378.2,0,0,0
AC006380.3,0,0,0
AC006449.2,0.000924275000200489,0.000514202205956248,0
AC006460.2,8.14778544495252e-05,0.00104095694406914,0.000233107503446145
AC006482.1,0,0.000123232373467196,0
AC006486.9,0,0,0
AC006547.13,0.000312963185514562,0.000108629599168222,0
AC006547.15,0.00315655678240099,0.000495507030889538,0.00138798592181161
AC006547.8,0.000211835396101686,0.000307511184535659,0.00049833953267712
AC006552.1,0,2.03445987256066e-05,0
AC006942.4,0.00858068957545833,0.0202906533322857,0.0210985878138027
AC006946.15,0,0.000165414806250285,0
AC006946.16,0.00480708934683411,0.00375030441180454,0.00244454041050769
AC006946.17,0.000934214329719919,0.000255038971983563,0
AC006994.2,0.00463950265588414,0.0088073310427153,0.0195401942825388
AC006994.3,0,6.60115998037374e-05,0
AC007009.1,5.47498135002353e-05,0.00516329881324647,0
AC007036.6,0.00322480344619002,0.000273399389755457,0
AC007038.7,0.00528690592229306,0.00142816545959409,0.00336177223680418
AC007040.11,0,0.00360673623147525,0.00505560683044815
AC007040.6,0,0.000244702525749969,0
AC007040.8,9.2646780665195e-05,0,0
AC007050.17,0.000224464230816748,1.11426406986534e-05,0
AC007064.24,0,0.000151296121017399,0
AC007078.4,0,6.79740482425007e-05,0
AC007091.1,0,0,0
AC007098.1,0,0,0
AC007099.1,0,0.000469982027610174,0
AC007126.1,0,0,0
AC007128.1,0,0.000887004833283101,0
AC007131.1,0.00209386922638911,0.0022788792027767,0.000295438919421516
AC007131.2,0,0,0
AC007161.5,0.000296979269421494,0.000145698151181618,0.000293855182524033
AC007163.3,0,0.000386257530531954,0.00153481599628206
AC007163.6,0,0.000266672338457542,0.000479944948394639
AC007182.6,0.00032072597993333,0.000266042103041533,0.000157845838693581
AC007192.4,0,0,0
AC007192.6,0.000717373868005583,0.000278146189185297,0
AC007193.10,0,1.04984753468445e-05,0
AC007193.8,0,0,0.00102658580044999
AC007193.9,0.000249924822613358,0.000747209523946239,0.000520436581757959
AC007204.2,0.000184061510117199,0,0
AC007228.11,0.00960385685002564,0.00739874114635255,0.00832156087458169
AC007228.5,0.00165012714291851,2.43940946590254e-05,0.00299673450837062
AC007228.9,0.0104945655910425,0.0144544239304825,0.0232613468654882
AC007246.3,0.0321048789315472,0.113545317791061,0.135950306485682
AC007249.3,0,0,0
AC007250.4,0,0,0
AC007255.8,0.000173507566748423,0.00148217721016661,0.000361803545812234
AC007271.3,0,1.69920815099003e-05,0
AC007277.3,0,5.7112943477406e-05,0
AC007285.6,0.000118798888118439,0.000626239078297269,0
AC007292.3,0.00398891085270691,0.0103226248594676,0.0107344025732463
AC007292.4,0.000770514731951954,0.00173725794860462,0.00315071023596087
AC007292.6,0.000512245947463009,0.00276255921830593,0.00166004662150332
AC007292.7,0,0,0
AC007308.7,0,0.000239725577501313,0
AC007319.1,3.12098454128918e-05,0.00234573902187718,0
AC007325.1,0,0,0
AC007325.2,0.000969219030868883,0.0246206418131559,0.00250476675841668
AC007325.4,0.0111761886734226,0.116371114656592,0.0809636967334705
AC007326.10,0,0.000242461184692019,0
AC007349.4,0,0,0
AC007349.5,0.000401655940663918,0.000121858749688653,0
AC007349.7,0,3.28369832855224e-05,0
AC007362.3,0.000346632946213659,3.41262470462469e-05,0
AC007364.1,0,0.000549768644318986,0.000564994925780572
AC007365.1,0,0.000100435744941643,0
AC007365.3,0.000941764329371983,0.00400929825716508,0.00582143667906088
AC007381.3,0.00862683900923238,0,0
AC007383.3,0.00279914546911955,0.0033097327155678,0.00642641969589487
AC007383.4,0.0015658853800849,0.0015031970815525,0.00785041491129934
AC007386.2,0.0298774882250512,0.000388928492255887,0.00150806133770774
AC007386.4,0.0305860195671698,0.000127312671943267,0.000803650337285414
AC007389.3,0,8.41822222899952e-05,0
AC007391.2,0.000339918506577559,0.000192825615505264,0.000802251999010662
AC007392.3,0,1.49324162201669e-05,0.00367477518626585
AC007392.4,0,0,0.000458286782853365
AC007403.2,0,2.33800347249854e-05,0.000405303871308563
AC007405.4,0,0.00961174541264732,0.000275684459727656
AC007405.6,0.0022561105784772,0.12287267559489,0.0170838603877545
AC007405.8,0,2.28219725542547e-05,0
AC007422.1,0,0,0
AC007463.2,0,4.52620839413957e-05,0
AC007556.3,0.000233495568590959,0,0
AC007563.3,0,9.24224832681584e-05,0.00116943677001564
AC007563.5,0,0.00020738077203284,0.00239140539678892
AC007566.10,0.00124187020402983,0.00190499076298191,0.000211288453257173
AC007620.3,0.00257552963265362,0.00155205243487748,0.000268070390459268
AC007731.1,0.00023605678657596,0.000327465616950659,0
AC007740.1,0,0,0
AC007743.1,0,0.00158067920520442,0
AC007750.5,0,0.000112175389626028,0.000664178256411196
AC007773.2,0.00549013489971248,0.0134148187772141,0.00647291908725663
AC007796.1,0,0,0.0012612155074591
AC007879.1,0,0,0
AC007879.2,0.00494711645205906,0.00289910472582167,0.000556452555057628
AC007879.3,0,1.28598965504655e-05,0
AC007879.4,2.57474887341348e-05,0.00122761775361758,0
AC007879.5,0.000467805598771777,0.000170417278946641,0
AC007879.6,0,3.06551653513715e-05,0
AC007879.7,0.00122405421285254,0.00633336952857364,0.00133198843373021
AC007880.1,0.0138866741417077,0.000155057287761835,0
AC007906.1,0,0.000189931961245721,0
AC007950.1,0,2.41200855895448e-05,0
AC007950.2,0.0149353712233651,0.00548372065976142,0.0155994729775715
AC007966.1,0,0.00327646568535319,0.000905322465158193
AC008060.7,8.76475564141744e-05,0.00731310271831135,0
AC008063.2,0,3.27766659439873e-05,0
AC008063.3,0,0.000459818429645546,0
AC008067.2,0,1.20643677159827e-05,0
AC008069.1,0.000431028253386929,0,0.000850265274953947
AC008073.7,0,3.53172135693741e-05,0
AC008073.9,0.000361979500284728,8.4271079268526e-05,0.000209008954779659
AC008074.1,0.00032368392704734,0.00013993034823433,0
AC008074.3,0.00117719512974819,0.00120870349317376,0.0014124648828911
AC008074.4,0,2.78373929466427e-05,0
AC008079.10,0.0250791373935974,0.0106358518601816,0.015711733176131
AC008079.9,0,0.000330780985753712,0
AC008088.4,0.0012529315647707,0.000858047401115816,0.000236478586024537
AC008132.15,0,9.16748319729377e-05,0
AC008154.4,0,1.81152287418538e-05,0
AC008154.5,0,8.892023623617e-05,0
AC008268.1,0.00249862258214906,0.155678382466972,0.00155640556342998
AC008269.2,8.34072655335022e-05,0.000530717294975518,0.00197125245821315
AC008271.1,0,0.000532148014027614,0
AC008277.1,0,6.73212869394497e-05,0
AC008278.2,0,0,0
AC008440.10,0,0.000100975639300974,0
AC008440.5,0.000320412260357262,0.000380445949126241,0.000566255038891245
AC008522.1,0.00151722621442196,0.00215043079853424,0.00120455138180519
AC008592.4,0,0.000111149858277369,0
AC008592.7,0,1.29856495275416e-05,0
AC008592.8,0.000715354874932141,0.000892663304021375,0
AC008686.1,0,4.91373455158707e-05,0
AC008691.1,0,1.81592313666597e-05,0
AC008697.1,0.0019563415093216,0.00227973277406868,0
AC008703.1,0,7.46414127776238e-05,0
AC008746.12,0.00230475671402959,0.00166759259400143,0.000284345810569674
AC008746.3,0,3.60456859522183e-05,0
AC008753.4,0,5.80641781990292e-05,0
AC008753.6,0.00197969327444561,0.000457547710633675,0.00260018497772665
AC008781.7,0.000279990941139783,0.00314090292674448,0
AC008937.2,0,6.58341484309413e-05,0
AC008937.3,0,0.00023816983629039,0
AC008940.1,0,0,0
AC008991.1,0,0,0.000634977843400621
AC009005.2,0.00686274835936319,0.054220118583306,0.013984388406875
AC009014.3,0,0.00148468432967978,0.000832394303067652
AC009022.1,0,0,0
AC009060.2,0,0,0
AC009060.3,0.00116559725691181,0.00176326280761588,0.000508423975159625
AC009065.4,0.000978830393038677,0.000843140966198742,0.000864193241905145
AC009095.4,0.000348229767014785,9.42272652503821e-06,0
AC009110.1,0,0,0
AC009120.10,0.00330634525088998,0.00712198917627013,0.00892803203992633
AC009120.11,3.81751380046509e-05,0.00607883478113996,0.00472236675329853
AC009120.4,0.000787990205717129,9.15390742759904e-05,0.00188902375906381
AC009120.5,2.89311508969212e-05,7.55997870964905e-05,0
AC009133.12,0.0326537712934544,0.348160023517834,0.0311237467003982
AC009133.15,0.00149625203526504,0.000342149602435709,0
AC009133.17,0.00188712488749872,0.000430585319400363,0
